index,facility_name,source_facility_type,odhf_facility_type,provider,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,latitude,longitude,cluster
2250,Glasgow Hall - Parklands at the Lakes Limited,nursing home,Nursing and residential care facilities,Province of Nova Scotia,76,baker dr,B2W 0C7,Dartmouth,NS,,Halifax,1209034.0,12.0,44.66571626,-63.53063283,3
2251,Glen Haven Manor,nursing home,Nursing and residential care facilities,Province of Nova Scotia,739,east river rd,B2H 5E9,New Glasgow,NS,,New Glasgow,1212014.0,12.0,45.57493525,-62.64393570000001,3
2254,Haliburton Place,nursing home,Nursing and residential care facilities,Province of Nova Scotia,89,payzant drive,B0N 2T0,Windsor,NS,,Windsor,1208002.0,12.0,44.98638355,-64.12037375,3
2255,Hants Community Hospital,general,Hospitals,Public Health Agency of Canada,89,payzant drive,B0N 2T0,Windsor,NS,89 payzant drive windsor ns b0n 2t0,Windsor,1208002.0,12.0,44.986514,-64.120414,3
2256,Harbour View Hospital,nursing home,Hospitals,Province of Nova Scotia,22,richard street,B1V 2H7,Sydney Mines,NS,,Cape Breton,1217030.0,12.0,46.23474447,-60.22220735,3
2257,Harbour View Haven,nursing home,Nursing and residential care facilities,Province of Nova Scotia,25,blockhouse hill rd,B0J 2C0,Lunenburg,NS,,Lunenburg,1206006.0,12.0,44.3770737,-64.30247321,3
2258,Harbourstone Enhanced Care Limited,nursing home,Nursing and residential care facilities,Province of Nova Scotia,84,kenwood dr,B1S 3V7,Sydney,NS,,Cape Breton,1217030.0,12.0,46.10704016,-60.21381807,3
2259,Harbourview Lodge Continuing Care Centre,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,22639,highway 7,B0J 3B0,Sheet Harbour,NS,,Halifax,1209034.0,12.0,44.920405,-62.53265876,3
2260,Heart of the Valley - Long Term Care Centre,nursing home,Nursing and residential care facilities,Province of Nova Scotia,89,north street,B0S 1P0,Middleton,NS,,Middleton,1205016.0,12.0,44.95050711,-65.06681003,3
2261,High - Crest Home New Glasgow,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,253,forbes st,B2H 4P5,New Glasgow,NS,,New Glasgow,1212014.0,12.0,45.58562993,-62.6418534,3
2262,High - Crest Place,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,222,provost st,B2H 2R3,New Glasgow,NS,,New Glasgow,1212014.0,12.0,45.58571686,-62.64514469,3
2263,High - Crest Sherbrooke Home for Special Care,nursing home,Nursing and residential care facilities,Province of Nova Scotia,53,court street,B0J 3C0,Sherbrooke,NS,,St. Mary's,1213001.0,12.0,45.14081795,-61.98116323,3
2265,Highland Crest Residential Care Facility,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,44,hillcrest st,B2G 1Z3,Antigonish,NS,,Antigonish,1214002.0,12.0,45.6176844,-61.99047184,3
2267,Hillside Pines Home for Special Care,nursing home,Nursing and residential care facilities,Province of Nova Scotia,77,exhibition dr,B4V 3K6,Bridgewater,NS,,Bridgewater,1206004.0,12.0,44.36887146,-64.52064795,3
2268,Hillsview Acres,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,14,middlefield road,B0T 1E0,Greenfield,NS,,Queens,1204010.0,12.0,44.20916426,-64.86372431,3
2271,Ivey's Terrace Nursing Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,11,centennial drive,B0K 1X0,Trenton,NS,,Trenton,1212016.0,12.0,45.62311588,-62.63141360000001,3
2272,Ivy Meadows Continuing Care Centre,nursing home,Nursing and residential care facilities,Province of Nova Scotia,125,knowles crescent,B4G 1E7,Beaverbank,NS,,Halifax,1209034.0,12.0,44.90232904,-63.71091493,3
2273,Iwk Health Centre,pediatric,Hospitals,Public Health Agency of Canada,5980,university ave,B3K 6R8,Halifax,NS,5850 - 5980 university ave. halifax ns b3k 6r8,Halifax,1209034.0,12.0,44.637993,-63.583484,3
2277,Lohnes Rest Home,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,97,lakeview dr,B0R 1A0,Barss Corner,NS,,Lunenburg,1206001.0,12.0,44.58428314,-64.64425866,3
2278,Mahone Nursing Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,640,main,B0J 2E0,Mahone Bay,NS,,Mahone Bay,1206008.0,12.0,44.4477332,-64.3771694,3
2279,Maple Hill Manor,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,700,king st,B1H 3Z5,New Waterford,NS,,Cape Breton,1217030.0,12.0,46.24071186,-60.08543333,3
2280,Maplestone Enhanced Care Limited,nursing home,Nursing and residential care facilities,Province of Nova Scotia,245,main ave,B3M 1B7,Halifax,NS,,Halifax,1209034.0,12.0,44.65374305,-63.64920759,3
2281,Maritime Odd Fellows Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,143,haliburton rd,B0K 1H0,Pictou,NS,,Pictou,1212004.0,12.0,45.67329614,-62.72274498,3
2282,Mary's Abide-a-While Home Ltd,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,188,water,B0T 1W0,Shelburne,NS,,Shelburne,1201008.0,12.0,43.76568776,-65.32470646,3
2283,Melville Gardens Nursing Home,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,11,ramsgate lane,B3P 2S9,Halifax,NS,,Halifax,1209034.0,12.0,44.63200392,-63.61463688,3
2284,Melville Lodge,nursing home,Nursing and residential care facilities,Province of Nova Scotia,50,shoreham lane,B3P 2R3,Halifax,NS,,Halifax,1209034.0,12.0,44.62956069,-63.61525121,3
2285,Milford Haven Corporation,nursing home,Nursing and residential care facilities,Province of Nova Scotia,10558,route 16,B0H 1N0,Guysborough,NS,,Guysborough,1213004.0,12.0,45.40211233,-61.50709367,3
2286,Miner's Memorial Manor,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,15,lorne st,B1V 3B9,Sydney Mines,NS,,Cape Breton,1217030.0,12.0,46.23959752,-60.21829662,3
2287,Mitchell's Rest Home,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,5153,highway 14,B1V 3B9,Upper Nine Mile River,NS,,East Hants,1208008.0,12.0,45.08188105,-63.64660355,3
2289,Musquodoboit Valley Home for Special Care Association,nursing home,Nursing and residential care facilities,Province of Nova Scotia,126,higginsville road,B0N 1X0,Middle Musquodoboit,NS,,Halifax,1209034.0,12.0,45.03997373,-63.13996247,3
2290,Musquodoboit Valley Memorial Hospital,general,Hospitals,Public Health Agency of Canada,492,archibald brook rd,B0N 1X0,Middle Musquodoboit,NS,492 archibald brook rd. middle musquodoboit ns b0n 1x0,Halifax,1209034.0,12.0,45.0404637,-63.1404927,3
2291,My Cape Breton Home for Seniors - North Sydney,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,77,campbell street,B1P 6J1,North Sydney,NS,,Cape Breton,1217030.0,12.0,46.20477157,-60.26941415,3
2292,My Cape Breton Home for Seniors - Sydney,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,137,riverdale drive,B1R 0A9,Sydney,NS,,Cape Breton,1217030.0,12.0,46.11836193,-60.22143907,3
